usr_mcno,usr_mctype,sub_mcno,sub_mcstuen,usr_devtname,devt_location,mcst_houseno,mcst_roadname,mcst_unitno,mcst_buildingname,mcst_postalcode,mcst_telno,ust_status,mcst_stratalota,managementname,management_tel_no,mc_form_date
927,Single Tier Management Corporation,na,S85MC0927H,HARBOUR VIEW GARDENS,211 PASIR PANJANG ROAD 118584,223A,PASIR PANJANG ROAD,na,HARBOUR VIEW GARDENS,118584,67330448,DEFUNCT,10,Corporate Real Estate Management Service & Resource Centre Pte Ltd,67330448,29/6/1985
928,Single Tier Management Corporation,na,S85MC0928D,CORONA COURT,8A JALAN HAJI ALIAS 268508,6,JALAN HAJI ALIAS,na,na,268507,63385533,ACTIVE,14,Pentagon Property Consultants Pte Ltd,63385533,4/7/1985
929,Single Tier Management Corporation,na,S85MC0929L,KATONG MALL,112 EAST COAST ROAD 428802,112,EAST COAST ROAD,B2-12,KATONG MALL,428802,63458367,DEFUNCT,256,PROPERTY FACILITY SERVICES PTE LTD,62211313,5/7/1985
930,Single Tier Management Corporation,na,S85MC0930H,CHARLTON LODGE,23B CHARLTON LANE,C/o 2,JALAN KILANG BARAT,9-Jan,na,159346,na,DEFUNCT,3,MCST,na,11/7/1985
931,Single Tier Management Corporation,na,S85MC0931D,na,51 SHREWSBURY ROAD 307828,1,YUK TONG AVENUE,1-Jan,CHUN TIN COURT,596306,64661342,DEFUNCT,11,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD,64661342,11/7/1985
932,Single Tier Management Corporation,na,S85MC0932L,REGAL MANSION,45 MAR THOMA ROAD 328716,27,BENCOOLEN STREET,Jan-29,na,189620,63372165,DEFUNCT,18,NIL,na,20/7/1985
933,Single Tier Management Corporation,na,S85MC0933G,PELIKAT COURT,201 JALAN PELIKAT 537652,C/o 150,CHANGI ROAD,4-Mar,GUTHRIE BUILDING,419973,64179222,DEFUNCT,16,DTZ DEBENHAM TIE LEUNG PROPERTY MANAGEMENT SERVICES PTE LTD,64179222,23/7/1985
934,Single Tier Management Corporation,na,S0103472C,YI MEI GARDEN,111 TAMPINES ROAD 535133,540,SIMS AVENUE,3-Jun,SIMS AVENUE CENTRE,387603,68421731,DEFUNCT,48,LANDSFIELD PROPERTY CONSULTANTS PTE LTD,68421731,23/7/1985
935,Single Tier Management Corporation,na,S85MC0935K,HILLVIEW WAREHOUSE,29 HILLVIEW TERRACE 669245,420,NORTH BRIDGE ROAD,6-Jan,NORTH BRIDGE CENTRE,188727,63370087,ACTIVE,35,Earnest Management Services Pte Ltd,63370087,24/7/1985
936,Single Tier Management Corporation,na,S85MC0936F,GORDON WAREHOUSE BUILDING,9 KAKI BUKIT ROAD 2 417842,9,KAKI BUKIT ROAD 2,Jan-19,GORDON WAREHOUSE BUILDING,417842,67432508,ACTIVE,123,na,na,26/7/1985
937,Single Tier Management Corporation,na,S85MC0937B,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0937,115A EVERITT ROAD 428639,115,EVERITT ROAD,na,na,428639,96280085,ACTIVE,3,EXCELTEC PROPERTY MANAGEMENT PTE LTD,65682033,26/7/1985
938,Single Tier Management Corporation,na,S85MC0938J,GRACIOUS MANSION,25 JALAN RENDANG 428356,65,CHULIA STREET,45-1,OCBC CENTRE,49513,65382372,DEFUNCT,16,MCST,na,29/7/1985
939,Single Tier Management Corporation,na,S85MC0939E,XIE RONG CT,28C MEYAPPA CHETTIAR ROAD,TERMINATED,na,na,ACQUIRED BY MRT,358465,na,DEFUNCT,7,MCST,na,29/7/1985
940,Single Tier Management Corporation,na,S85MC0940B,THE ARCADIA,235 ARCADIA ROAD 289843,241,ARCADIA ROAD,na,THE ARCADIA,289846,64698520,ACTIVE,164,Knight Frank Property Asset Management Pte Ltd,68485678,2/8/1985
941,Single Tier Management Corporation,na,S85MC0941J,GRANGE TOWER (TERMINATED),27 GRANGE ROAD 239700,29,GRANGE ROAD,1-0,GRANGE TOWER,239701,67361644,DEFUNCT,80,EMPIRE CITY CONSULTANT PTE LTD,63246368,2/8/1985
942,Single Tier Management Corporation,na,S85MC0942E,BOUGAINVILLEA COURT,10E LORONG H TELOK KURAU,10E,LORONG H TELOK KURAU,na,BOUGAINVILLEA COURT,425993,63458031,DEFUNCT,6,EMPIRE CITY CONSULTANT PTE LTD,63246368,2/8/1985
943,Single Tier Management Corporation,na,S85MC0943A,LOYANG MANSION,157V JALAN LOYANG BESAR 509402,157V,JALAN LOYANG BESAR,na,LOYANG MANSION,509402,65822675,ACTIVE,4,na,na,2/8/1985
944,Single Tier Management Corporation,na,S85MC0944H,CHUN TIN COURT,9A YUK TONG AVENUE 596314,1A,YUK TONG AVENUE,1-Jan,CHUN TIN COURT,596306,64661342,ACTIVE,16,Philip Motha Property Management Pte Ltd,64661342,3/8/1985
945,Single Tier Management Corporation,na,S85MC0945D,HIMIKO COURT,2 RIDGEWOOD CLOSE 276697,2,RIDGEWOOD CLOSE,4-Apr,HIMIKO COURT,276693,64698125,DEFUNCT,177,ORACLE PROPERTY CONSULTANTS PTE LTD,63239266,5/8/1985
946,Single Tier Management Corporation,na,S85MC0946L,CHANCERY VILLE,5 CHANCERY LANE 309493,TERMINATED,ALIWAL STREET,na,CHENN LEONN BUILDING,199894,67356255,DEFUNCT,10,AV CONSULTANTS PTE LTD,67356255,7/8/1985
947,Single Tier Management Corporation,na,S85MC0947G,NULL,10C LORONG MARZUKI 417054,C/o 101,BOON KENG ROAD,Jun-16,na,339773,na,DEFUNCT,4,MCST,na,7/8/1985
948,Single Tier Management Corporation,na,S85MC0948C,na,37D LORONG 6 GEYLANG 399187,35/37,LORONG 6 GEYLANG,na,na,399189,67499591,DEFUNCT,8,MCST,na,10/8/1985
949,Single Tier Management Corporation,na,S85MC0949K,SIMON VILLE,45B SIMON PLACE 545988,5001,BEACH ROAD,4-Dec,GOLDEN MILE COMPLEX,199588,68420768,DEFUNCT,9,ALADDIN MANAGEMENT SOLUTIONS PTE LTD,68420768,16/8/1985
950,Single Tier Management Corporation,na,S85MC0950G,BROOKVALE PARK,1 BROOKVALE DRIVE 599968,1,BROOKVALE DRIVE,1-Apr,BROOKVALE PARK,599968,63488278,ACTIVE,160,Strata Land Property Consultants Pte Ltd,63488278,16/8/1985
951,Single Tier Management Corporation,na,S85MC0951C,EAST GROVE,430C EAST COAST ROAD 429013,414,EAST COAST ROAD,na,EAST GROVE,429013,68411524,ACTIVE,36,Pacific Property Management Pte Ltd,68411524,19/8/1985
952,Single Tier Management Corporation,na,S85MC0952K,GOOD LUCK GARDEN (terminated),32 TOH TUCK ROAD 596721,46,TOH TUCK ROAD,1-Feb,GOOD LUCK GARDEN,596721,64693072,DEFUNCT,210,Newman & Goh Property Consultants Pte Ltd,62569333,28/8/1985
953,Single Tier Management Corporation,na,S85MC0953F,RAJAH MAISONETTES,25 JALAN RAJAH 329139,25,JALAN RAJAH,1-Jan,RAJAH MAISONETTES,329139,96717425,DEFUNCT,10,MCST,na,29/8/1985
954,Single Tier Management Corporation,na,S85MC0954B,GUAN HUA WAREHOUSE BUILDING,85 GENTING LANE 349569,85,GENTING LANE,01-00,GUAN HUA WAREHOUSE BUILDING,349569,97988710,ACTIVE,34,na,na,7/9/1985
955,Single Tier Management Corporation,na,S85MC0955J,EUNOS WAREHOUSE COMPLEX,1 KAKI BUKIT ROAD 2 417835,1 & 3,KAKI BUKIT ROAD 2,01-00,EUNOS WAREHOUSE COMPLEX,417835,67483478,ACTIVE,48,Chamber Property Management Services Pte Ltd,64685100,9/9/1985
956,Single Tier Management Corporation,na,S85MC0956E,SHELFORD VALE,18 - 18J SHELFORD ROAD 288407,TERMINATED,OLD TOH TUCK ROAD,na,na,na,na,DEFUNCT,10,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD,64661342,12/9/1985
957,Single Tier Management Corporation,na,S85MC0957A,PEAK COURT CONDOMINIUM,333 THOMSON ROAD 307675,10,JALAN BESAR,10-Jun,SIM LIM TOWER,208787,63387222,DEFUNCT,20,HBA GROUP PROPERTY CONSULTANTS PTE LTD,63387222,12/9/1985
958,Single Tier Management Corporation,na,S85MC0958H,FU LU SHOU COMPLEX,149 ROCHOR ROAD 188425,149,ROCHOR ROAD,03-25A,FU LU SHOU COMPLEX,188425,63366308,ACTIVE,160,na,na,14/9/1985
959,Single Tier Management Corporation,na,S85MC0959D,RUBY WAREHOUSE COMPLEX,8 KAKI BUKIT ROAD 2 417841,8,KAKI BUKIT ROAD 2,03-37A,RUBY WAREHOUSE COMPLEX,417841,67450707,ACTIVE,125,Colliers International Consultancy & Valuation (S) Pte Ltd,62232323,16/9/1985
960,Single Tier Management Corporation,na,S85MC0960A,PLEASANT HILL LODGE,81C PASIR PANJANG HILL 118888,81,PASIR PANJANG HILL,na,PLEASANT HILL LODGE,118886,62248208,ACTIVE,4,na,na,20/8/1985
961,Single Tier Management Corporation,na,S85MC0961H,THE WILSHIRE,22 FARRER ROAD 268828,22,FARRER ROAD,1-Jan,THE WILSHIRE,268828,62230169,DEFUNCT,20,Smart Property Management (Singapore) Pte Ltd,62230169,16/9/1985
962,Single Tier Management Corporation,na,S85MC0962D,HONG YUN COURT,15 LORONG M TELOK KURAU 425303,15,LORONG M TELOK KURAU,1-May,HONG YUN COURT,425303,na,DEFUNCT,12,MCST,na,17/9/1985
963,Single Tier Management Corporation,na,S85MC0963L,OXLEY GARDEN,8 OXLEY RISE 238944,5,OXLEY RISE,na,OXLEY GARDEN,238732,96528550,ACTIVE,46,ABSOLUTE FACILITIES MANAGEMENT PTE LTD,96528550,17/9/1985
964,Single Tier Management Corporation,na,S85MC0964G,GORDON INDUSTRIAL BUILDING,113 EUNOS AVENUE 3 409838,126,JOO SENG ROAD,Jun-13,GOLD PINE INDUSTRIAL BUILDING,386355,65815604,ACTIVE,125,Avalon Asset Management Pte Ltd,65815604,18/9/1985
965,Single Tier Management Corporation,na,S85MC0965C,ROSE MANSION,10 ROSE LANE,10,ROSE LANE,1-Mar,ROSE MANSION,437370,na,DEFUNCT,6,MCST,na,19/9/1985
966,Single Tier Management Corporation,na,S85MC0966K,DUCHESS PARK (Terminated),16 DUCHESS AVENUE,TERMINATED,VICTORIA STREET,na,na,na,na,DEFUNCT,17,T Y CHONG & ASSOCIATES MANAGEMENT CONSULTANTS PTE LTD,66657555,20/9/1985
967,Single Tier Management Corporation,na,S85MC0967F,GOLDLION BUILDING,161 KAMPONG AMPAT 368329,7030,ANG MO KIO AVENUE 5,Sep-73,Northstar@AMK,569880,67336845,ACTIVE,16,KIRIN ASSET MANAGEMENT PTE LTD,67336845,20/9/1985
968,Single Tier Management Corporation,na,S85MC0968B,WESTPEAK (TERMINATED),208 WEST COAST WALK 127385,5,WEST COAST WALK,na,WESTPEAK,127146,67763630,DEFUNCT,98,NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD,62569333,21/9/1985
969,Single Tier Management Corporation,na,S85MC0969J,NULL,76C BOUNDARY ROAD,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,3,NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD,62569333,26/9/1985
970,Single Tier Management Corporation,na,S85MC0970F,NULL,267A RACE COURSE ROAD,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,4,NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD,62569333,26/9/1985
971,Single Tier Management Corporation,na,S85MC0971B,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0971,386B EAST COAST ROAD 428988,30,KAKI BUKIT INDUSTRIAL TERRACE,2-Jan,na,416110,63468008,ACTIVE,6,na,na,26/9/1985
972,Single Tier Management Corporation,na,S85MC0972J,AUTUMN TEN,489 DUNMAN ROAD 439192,489,DUNMAN ROAD,na,AUTUMN TEN MANSION,439192,na,DEFUNCT,5,MCST,na,27/9/1985
973,Single Tier Management Corporation,na,S85MC0973E,VILLA DES FLORES,125 WHITLEY ROAD 297820,125A,LORONG 2 TOA PAYOH,01-134,na,311125,62569333,ACTIVE,41,Newman & Goh Property Consultants Pte Ltd,6256-9333,27/9/1985
974,Single Tier Management Corporation,na,S85MC0974A,SINDO BUILDING,66 TANNERY LANE 347805,531,UPPER CROSS STREET,4-Dec,HONG LIM COMPLEX,50531,63345565,ACTIVE,53,DICKSON PROPERTY CONSULTANTS PTE LTD,63345565,1/10/1985
975,Single Tier Management Corporation,na,S85MC0975H,KATONG PLAZA,1 BROOKE ROAD 429979,1,BROOKE ROAD,Mar-13,KATONG PLAZA,429979,64471722,ACTIVE,146,na,na,2/10/1985
976,Single Tier Management Corporation,na,S85MC0976D,THE CLAYMORE,25 CLAYMORE ROAD 229543,27,CLAYMORE ROAD,1-Jan,THE CLAYMORE,229544,67348457,ACTIVE,146,Jones Lang LaSalle Property Consultants Pte Ltd,67348457,2/10/1985
977,Single Tier Management Corporation,na,S85MC0977L,SIGLAP COURT,8 SIGLAP ROAD,23,TAI SENG DRIVE,na,na,535224,na,DEFUNCT,12,JONES LANG LASALLE PROPERTY CONSULTANTS PTE LTD,62203888,2/10/1985
978,Single Tier Management Corporation,na,S85MC0978G,OCEAN PARK,520 EAST COAST ROAD 458965,524,EAST COAST ROAD,na,OCEAN PARK,458967,6445 8208,ACTIVE,298,FOCUS STRATA MANAGEMENT PTE LTD,64436039,3/10/1985
979,Single Tier Management Corporation,na,S85MC0979C,SARKIES MANSION (Terminated),9 SARKIES ROAD,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,11,ACE BODY CORPORATE MANAGEMENT PTE LTD,62557997,3/10/1985
980,Single Tier Management Corporation,na,S85MC0980L,TERESA VILLE CONDOMINIUM,1001 LOWER DELTA ROAD 099307,1001,LOWER DELTA ROAD,1-Jan,TERESA VILLE CONDOMINIUM,99307,62747600,ACTIVE,270,Newman & Goh Property Consultants Pte Ltd,62569333,3/10/1985
981,Single Tier Management Corporation,na,S85MC0981G,na,129A UPPER PAYA LEBAR ROAD 534840,2 & 4,GEMMILL LANE,2-Jan,na,69247,64388866,ACTIVE,17,na,na,4/10/1985
982,Single Tier Management Corporation,na,S85MC0982C,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0982,659A GEYLANG ROAD 389585,665A,GEYLANG ROAD,02-655,na,389585,96833999,ACTIVE,7,na,na,4/10/1985
983,Single Tier Management Corporation,na,S85MC0983K,LYNNSVILLE (Terminated),331 PASIR PANJANG ROAD 118656,-,SEMBAWANG ROAD,na,-,na,64521738,DEFUNCT,7,nil,na,4/10/1985
984,Single Tier Management Corporation,na,S85MC0984F,SERAN COURT,4A WOLSKEL ROAD 357959,4A,WOLSKEL ROAD,na,na,357959,97266493,DEFUNCT,4,NIL,na,7/10/1985
985,Single Tier Management Corporation,na,S85MC0985B,GREEN LODGE CONDOMINIUM,19 TOH TUCK ROAD 596683,19A,TOH TUCK ROAD,na,GREEN LODGE CONDOMINIUM,596684,64690763,DEFUNCT,80,Stature Real Estate Enterprises Pte Ltd,67792711,7/10/1985
986,Single Tier Management Corporation,na,S85MC0986J,RICHFIELD INDUSTRIAL CENTRE,120 EUNOS AVENUE 7 409574,122,EUNOS AVENUE 7,Aug-18,RICHFIELD INDUSTRIAL CENTRE,409575,67463011,ACTIVE,162,Outocoz Property Services Pte Ltd,64404600,8/10/1985
987,Single Tier Management Corporation,na,S85MC0987E,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0987,303A CHANGI ROAD 419781,43A,LORONG MARZUKI,na,na,417113,67421545,ACTIVE,4,na,na,9/10/1985
988,Single Tier Management Corporation,na,S85MC0988A,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0988,22 NEO PEE TECK LANE 119052,22,NEO PEE TECK LANE,na,NOS. 22| 24| 26 & 28 NEO PEE TECK LANE,119055,67751667,ACTIVE,4,na,na,8/10/1985
989,Single Tier Management Corporation,na,S85MC0989H,POINT LOMA,30 SHELFORD ROAD,14,SCOTTS ROAD,06-00,FAR EAST PLAZA,228213,62352411,DEFUNCT,12,na,64288466,12/10/1985
990,Single Tier Management Corporation,na,S85MC0990E,HONOLULU TOWER,341 BUKIT TIMAH ROAD 259719,341,BUKIT TIMAH ROAD,1-Jan,HONOLULU TOWER,259719,92708123,ACTIVE,30,Realty International Associates Pte Ltd,68055500,14/10/1985
991,Single Tier Management Corporation,na,S85MC0991A,MARZUKI LODGE,38 LORONG MARZUKI 417104,15,WEST COAST HIGHWAY,4-Jan,PASIR PANJANG BUILDING,117861,67737747,DEFUNCT,12,OPTIMUZ REAL ESTATE CONSULTANTS PTE LTD,67737747,15/10/1985
992,Single Tier Management Corporation,na,S85MC0992H,CHESTNUT VILLE,46 JALAN PAKIS 678633,50,JALAN PAKIS,na,CHESTNUT VILLE I & II,678639,64411184,ACTIVE,45,A4 International Pte Ltd,64411184,15/10/1985
993,Single Tier Management Corporation,na,S85MC0993D,HORIZON TOWERS,15 LEONIE HILL ROAD 239194,29,LEONIE HILL,2-May,HORIZON TOWERS,239228,67322008,ACTIVE,210,Savills Property Management Pte Ltd,63463238,15/10/1985
994,Single Tier Management Corporation,na,S85MC0994L,MCST TERMINATED,42B MANDALAY ROAD 308217,TERMINATED,MANDALAY ROAD,na,na,na,62504077,DEFUNCT,3,NIL,na,21/10/1985
995,Single Tier Management Corporation,na,S85MC0995G,MEYER TOWER,NIL MEYER ROAD,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,57,PREMAS INTERNATIONAL LIMITED,62329433,22/10/1985
996,Single Tier Management Corporation,na,S85MC0996C,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0996,102 JALAN JURONG KECHIL 598602,102B,JALAN JURONG KECHIL,na,na,598602,65414525,ACTIVE,6,na,na,23/10/1985
997,Single Tier Management Corporation,na,S85MC0997K,APOLLO GARDEN,617A UPPER CHANGI ROAD 487030,266,SERANGOON CENTRAL DRIVE,03-255,na,550266,62273233,ACTIVE,38,Bernard Valuers & Real Estate Consultants Pte Ltd,62273233,26/10/1985
998,Single Tier Management Corporation,na,S85MC0998F,TAT LEE COURT (TERMINATED ),39 WEST COAST RISE 127482,TERMINATED,WEST COAST RISE,na,na,na,na,DEFUNCT,104,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100,28/10/1985
999,Single Tier Management Corporation,na,S85MC0999B,NULL,21 MOULMEIN RISE,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,8,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100,28/10/1985
1000,Single Tier Management Corporation,na,S85MC1000K,NULL,NIL PULASAN ROAD,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,427542,na,DEFUNCT,7,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100,28/10/1985
1001,Single Tier Management Corporation,na,S85MC1001F,FORTUNE CENTRE,190 MIDDLE ROAD 188979,190,MIDDLE ROAD,06-00,FORTUNE CENTRE,188979,63395755,ACTIVE,232,Savills Property Management Pte Ltd,63395755,29/10/1985
1002,Single Tier Management Corporation,na,S85MC1002B,CITIMAC INDUSTRIAL COMPLEX (TERMINATED),605 MACPHERSON ROAD 368239,605,MACPHERSON ROAD,1-Apr,CITIMAC INDUSTRIAL COMPLEX,368239,62841685,DEFUNCT,110,Ocean IFM Pte Ltd,68861936,29/10/1985
1003,Single Tier Management Corporation,na,S85MC1003J,SPRINGWELL MANSIONS,21C JALAN HAJI SALAM 468786,19,JALAN HAJI SALAM,na,Springwell Mansions,468786,90080300,ACTIVE,6,na,na,29/10/1985
1004,Single Tier Management Corporation,na,S85MC1004E,YONG SIAK VIEW,23C YONG SIAK STREET 168650,7030,ANG MO KIO AVENUE 5,Sep-73,NORTHSTAR,569880,67336845,ACTIVE,12,KIRIN ASSET MANAGEMENT PTE LTD,67336845,29/10/1985
1005,Single Tier Management Corporation,na,S85MC1005A,na,107 CEYLON ROAD 429690,107,CEYLON ROAD,1-Feb,na,429690,90123164,DEFUNCT,6,PROACT BUILDING MAINTENANCE SERVICES,na,29/10/1985
1006,Single Tier Management Corporation,na,S85MC1006H,NULL,190 MOULMEIN ROAD,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,12,PROACT BUILDING MAINTENANCE SERVICES,na,31/10/1985
1007,Single Tier Management Corporation,na,S85MC1007D,BALMORAL PARK (Terminated),5 BALMORAL PARK 259829,5,BALMORAL PARK,na,na,259829,64497141,DEFUNCT,12,ASCENT PROPERTY SERVICES,64497141,1/11/1985
1008,Single Tier Management Corporation,na,S85MC1008L,PARKWAY PARADE,80 MARINE PARADE ROAD 449269,80,MARINE PARADE ROAD,8-Feb,PARKWAY PARADE,449269,63454665,ACTIVE,429,Lendlease Retail Pte. Ltd.,63454665,2/11/1985
1009,Single Tier Management Corporation,na,S85MC1009G,NULL,83 CAIRNHILL ROAD,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,32,LEND LEASE RETAIL PTE LTD,63454665,6/11/1985
1010,Single Tier Management Corporation,na,S85MC1010D,HOLLAND VIEW (Terminated),621 QUEENSWAY 276747,TERMINATED,QUEENSWAY,na,na,na,na,DEFUNCT,48,KNIGHT FRANK ESTATE MANAGEMENT PTE LTD,63723033,6/11/1985
1011,Single Tier Management Corporation,na,S85MC1011L,DONG XING COURT,3A TAY LIAN TECK ROAD 455629,289,ONAN ROAD,na,na,424674,64401085,ACTIVE,16,SEE PENG HONG,96445003,7/11/1985
1012,Single Tier Management Corporation,na,S85MC1012G,WEN YUAN COURT,22 LORONG K TELOK KURAU 425623,1,YUK TONG AVENUE,1-Jan,CHUN TIN COURT,596306,64661342,DEFUNCT,12,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD,64661342,7/11/1985
1013,Single Tier Management Corporation,na,S85MC1013C,JALAN BESAR PLAZA,101 KITCHENER ROAD 208511,101,KITCHENER ROAD,05-00,JALAN BESAR PLAZA,208511,6293 0809,ACTIVE,155,Edmund Tie & Company Property Management Services Pte Ltd,6293 0809,8/11/1985
1014,Single Tier Management Corporation,na,S85MC1014K,7 NASSIM,7 NASSIM ROAD 258374,7,NASSIM ROAD,B1-01,7 NASSIM,258374,68055020,ACTIVE,8,Realty International Associates Pte Ltd,68055020,8/11/1985
1015,Single Tier Management Corporation,na,S85MC1015F,SING INDUSTRIAL COMPLEX,32 ANG MO KIO INDUSTRIAL PARK 2 569510,32,ANG MO KIO INDUSTRIAL PARK 2,7-Jan,SING INDUSTRIAL COMPLEX,569510,64819933,ACTIVE,120,First Boston Property Consultants Pte Ltd,63393779,12/11/1985
1016,Single Tier Management Corporation,na,S85MC1016B,PANJANG COURT (Terminated),7B JALAN MENDONG,TERMINATED,JALAN MENDONG,na,na,na,na,DEFUNCT,24,FRANS D' SAN ENGINEERING PTE LTD,64819933,21/11/1985
1017,Single Tier Management Corporation,na,S85MC1017J,HARMONY MANSION,32 DUKU ROAD 429190,2,SOON WING ROAD,8-Aug,SOON WING INDUSTRIAL BUILDING,347893,64664703,DEFUNCT,18,HUB ASSET MANAGEMENT PTE LTD,64664703,12/11/1985
1018,Single Tier Management Corporation,na,S85MC1018E,PARAMOUNT HOTEL & SHOPPING COMPLEX,30 EAST COAST ROAD 428751,30,EAST COAST ROAD,Mar-40,PARAMOUNT HOTEL & SHOPPING COMPLEX,428751,63442456,DEFUNCT,92,YTC BUILDING SERVICES PTE LTD,63442456,13/11/1985
1019,Single Tier Management Corporation,na,S85MC1019A,PERFECT ONE,1 GENTING LINK 349518,1,GENTING LINK,5-Jun,PERFECT ONE,349518,62569333,ACTIVE,47,Newman & Goh Property Consultants Pte Ltd,62569333,14/11/1985
1020,Single Tier Management Corporation,na,S85MC1020J,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1020,28B JALAN HAJI ALIAS 268529,28,JALAN HAJI ALIAS,na,na,268529,64686292,ACTIVE,6,na,na,14/11/1985
1021,Single Tier Management Corporation,na,S85MC1021E,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1021,18 PASIR PANJANG HILL 118834,24,PASIR PANJANG HILL,na,na,118840,64730710,ACTIVE,4,na,na,15/11/1985
1022,Single Tier Management Corporation,na,S85MC1022A,ROSE LANE COURT,8C ROSE LANE 437367,6,ROSE LANE,6-,ROSE LANE COURT,437367,98808101,ACTIVE,8,na,na,18/11/1985
1023,Single Tier Management Corporation,na,S85MC1023H,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1023,285B OUTRAM ROAD 169069,285/A-C,OUTRAM ROAD,na,na,169069,62235873,ACTIVE,3,MCST,na,18/11/1985
1024,Single Tier Management Corporation,na,S85MC1024D,MUN HEAN INDUSTRIAL BUILDINGS,51 KIM KEAT ROAD 328823,51,KIM KEAT ROAD,5-Feb,MUN HEAN INDUSTRIAL BUILDINGS,328821,68421731,ACTIVE,8,Landsfield Property Consultants Pte Ltd,68421731,18/11/1985
1025,Single Tier Management Corporation,na,S85MC1025L,BEAVERTON COURT,45 MOUNT SINAI RISE 276958,45,MOUNT SINAI RISE,B1-01,BEAVERTON COURT,276958,64648741,ACTIVE,54,na,na,25/11/1985
1026,Single Tier Management Corporation,na,S85MC1026G,GOH & GOH BUILDING,110 UPPER BUKIT TIMAH ROAD 588169,540,SIMS AVENUE,3-Jun,SIMS AVENUE CENTRE,387603,68421731,ACTIVE,14,Landsfield Property Consultants Pte Ltd,68421731,25/11/1985
1027,Single Tier Management Corporation,na,S85MC1027C,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1027,19C LORONG 13 GEYLANG 388662,19B,LORONG 13 GEYLANG,na,na,388662,67473559,ACTIVE,3,MELANA INTERNATIONAL PTE LTD,63271110,26/11/1985
1028,Single Tier Management Corporation,na,S85MC1028K,CHANCERLODGE COMPLEX,105 SIMS AVENUE 387429,105,SIMS AVENUE,Jan-14,CHANCERLODGE COMPLEX,387429,67441903,ACTIVE,89,na,na,26/11/1985
1029,Single Tier Management Corporation,na,S85MC1029F,STILLINGIA COURT,12 STILL ROAD 423958,12C,STILL ROAD,na,STILLINGIA COURT,423956,na,DEFUNCT,9,MCST,na,26/11/1985
1030,Single Tier Management Corporation,na,S85MC1030C,NOBLE LOGISTICS,49 TANNERY LANE 347796,49,TANNERY LANE,1-Jul,NOBLE LOGISTICS,347796,69098574,ACTIVE,36,Rhodo Property & Estate Management Services Pte Ltd,69098574,28/11/1985
1031,Single Tier Management Corporation,na,S85MC1031K,PENINSULA PLAZA,111 NORTH BRIDGE ROAD 179098,111,NORTH BRIDGE ROAD,9-Jan,PENINSULA PLAZA,179098,63306175,ACTIVE,463,Chambers Property Management Services Pte Ltd,64685100,30/11/1985
1032,Single Tier Management Corporation,na,S85MC1032F,KEMBANGAN VILLE,16 JALAN MASJID 418941,C/o 8,ASIMONT LANE,na,na,309947,97316329,DEFUNCT,23,MCST,na,30/11/1985
1033,Single Tier Management Corporation,na,S85MC1033B,CHINATOWN PLAZA (termination),34 CRAIG ROAD 89673,531,UPPER CROSS STREET,4-Dec,HONG LIM COMPLEX,50531,63345565,ACTIVE,71,Dickson Property Consultants Pte Ltd,63345565,2/12/1985
1034,Single Tier Management Corporation,na,S85MC1034J,KATONG OMEGA APARTMENTS,367B EAST COAST ROAD 428974,21,WOODLANDS INDUSTRIAL PARK E1,B1-01,na,757720,68910196,DEFUNCT,18,Ray Property Management Pte. Ltd.,68910196,2/12/1985
1035,Single Tier Management Corporation,na,S85MC1035E,COSY MANSION,NIL LIMAU GARDEN,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,20,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD,64661342,3/12/1985
