usr_mcno,usr_mctype,sub_mcno,sub_mcstuen,usr_devtname,devt_location,mcst_houseno,mcst_roadname,mcst_unitno,mcst_buildingname,mcst_postalcode,mcst_telno,ust_status,mcst_stratalota,managementname,management_tel_no,mc_form_date
2126,Single Tier Management Corporation,na,S97MC2126B,SIMS AVENUE CENTRE,540 SIMS AVENUE 387603,1014,GEYLANG EAST AVENUE 3,02-186,na,389729,67441083,ACTIVE,20,CHERN SERN PROPERTY SERVICES PTE LTD,67441083,21/10/1997
2127,Single Tier Management Corporation,na,S97MC2127J,KOVAN APARTMENTS,32 KOVAN ROAD 548102,50,CHIN SWEE ROAD,9-Feb,THONG CHAI BUILDING,169874,67322220,ACTIVE,16,Sierra Asset Management Pte Ltd,67322220,18/10/1997
2128,Single Tier Management Corporation,na,S97MC2128E,MANAGEMENT CORPORATION STRATA TITLE PLAN NO.2128,30 BRISTOL ROAD 219860,30,BRISTOL ROAD,na,na,219860,64411184,ACTIVE,7,A4 International Pte Ltd,6441 1184,10/11/1997
2129,Single Tier Management Corporation,na,S97MC2129A,PREMIER CENTRE,103 BEACH ROAD 189704,16,RAFFLES QUAY,26-00,HONG LEONG BUILDING,48581,62208411,DEFUNCT,7,KINGSTON PROPERTY MAINTENANCE SERVICES PTE LTD,62207535,9/10/1997
2130,Single Tier Management Corporation,na,S97MC2130J,EAST BAY GARDENS,87 LORONG G TELOK KURAU 426277,87,LORONG G TELOK KURAU,1-May,EAST BAY GARDENS,426277,68718767,ACTIVE,40,Crimson Estate Management Pte Ltd,6871 8767,8/10/1997
2131,Single Tier Management Corporation,na,S97MC2131E,AZALEA PARK,2 FLORA ROAD 509725,2,FLORA ROAD,1-Jan,AZALEA PARK,509725,65461603,ACTIVE,316,Landsfield Property Consultants Pte Ltd,65461675,30/12/1997
2132,Single Tier Management Corporation,na,S98MC2132F,TANNERY HOUSE,37 TANNERY LANE 347790,531,UPPER CROSS STREET,Mar-52,HONG LIM COMPLEX,50531,90229378,ACTIVE,67,Rhodo Property & Estate Management Services Pte Ltd,90229378,6/1/1998
2133,Single Tier Management Corporation,na,S97MC2133H,JOO SENG WAREHOUSE,1 UPPER ALJUNIED LINK 367901,1,UPPER ALJUNIED LINK,01-00,JOO SENG WAREHOUSE,367901,63488278,ACTIVE,84,Strata Land Property Consultants Pte Ltd,63488278,26/12/1997
2134,Single Tier Management Corporation,na,S98MC2134J,LHK3 BUILDING,8 NEW INDUSTRIAL ROAD 536200,8,NEW INDUSTRIAL ROAD,00-00,LHK3,536200,87201226,ACTIVE,21,na,na,23/2/1998
2135,Single Tier Management Corporation,na,S97MC2135L,SPCS BUILDING,250 SIMS AVENUE 387513,250,SIMS AVENUE,4-Jan,SPCS BUILDING,387513,62569333,ACTIVE,4,Newman & Goh Property Consultants Pte Ltd,62569333,17/11/1997
2136,Single Tier Management Corporation,na,S97MC2136G,KIM COURT,11 LORONG 9 GEYLANG,C/O 705,SIMS DRIVE,6-Jan,SHUN LI INDUSTRIAL COMPLEX,387384,67445577,ACTIVE,14,SIN SOON LEE REALTY CO PTE LTD,67445577,8/12/1997
2137,Single Tier Management Corporation,na,S97MC2137C,BUGIS JUNCTION,80 MIDDLE ROAD 188966,230,VICTORIA STREET,04-10A,BUGIS JUNCTION TOWERS,188024,64325186,ACTIVE,4,CBRE Pte Ltd,64325186,27/11/1997
2138,Single Tier Management Corporation,na,S97MC2138K,SUNNY GROVE,5A LORONG 37 GEYLANG 387914,3006,UBI ROAD 1,3-370,Sunny Grove,408700,67441083,ACTIVE,20,CHERN SERN PROPERTY SERVICES PTE LTD,67441083,26/11/1997
2139,Single Tier Management Corporation,na,S98MC2139L,SEMBAWANG COTTAGE,369 SEMBAWANG ROAD 758382,369,SEMBAWANG ROAD,B1-01,SEMBAWANG COTTAGE,758382,9669 9893,ACTIVE,27,HP Property and Facility Services Pte Ltd,9669 9893,7/8/1998
2140,Single Tier Management Corporation,na,S97MC2140C,BAYVILLE CONDOMINIUM,42 SOUTH BUONA VISTA ROAD 118166,10,JALAN BESAR,10-Jun,SIM LIM TOWER,208787,63387222,ACTIVE,63,HBA Group Property Consultants Pte Ltd,63387222,29/12/1997
2141,Single Tier Management Corporation,na,S97MC2141K,MANAGEMENT CORPORATION STRATA TITLE PLAN NO.2141,40 MEYER ROAD,32,SUNGEI KADUT WAY,2-Jan,na,728787,na,DEFUNCT,4,na,na,25/11/1997
2142,Single Tier Management Corporation,na,S97MC2142F,NULL,7 ANN SIANG HILL 60791,7,ANN SIANG HILL,na,na,69791,na,ACTIVE,4,na,na,6/11/1997
2143,Single Tier Management Corporation,na,S97MC2143B,GRYPHON TERRACE,348 PASIR PANJANG ROAD 118815,531,UPPER CROSS STREET,4-Dec,HONG LIM COMPLEX,50531,63345565,ACTIVE,17,Dickson Property Consultants Pte Ltd,63345565,24/12/1997
2144,Single Tier Management Corporation,na,S97MC2144J,Canne Lodge,75 LORONG 3 GEYLANG 388869,531,UPPER CROSS STREET,4-Dec,na,50531,63345565,ACTIVE,34,na,na,3/12/1997
2145,Single Tier Management Corporation,na,S98MC2145K,SPRINGVALE,907 EAST COAST ROAD 459107,907,EAST COAST ROAD,na,SPRINGVALE,459107,62915355,ACTIVE,41,Wisely 98 Pte Ltd,62915355,27/1/1998
2146,Single Tier Management Corporation,na,S97MC2146A,HUME PARK 1,13 HUME AVENUE 598724,13,HUME AVENUE,1-Jan,HUME PARK 1,598724,67606415,ACTIVE,328,Rhodo Property & Estate Management Services Pte Ltd,65333375,31/12/1997
2147,Single Tier Management Corporation,na,S97MC2147H,MARSHALL LODGE,89 MARSHALL ROAD 424886,89,MARSHALL ROAD,na,Marshall Lodge,424886,8310 6256,ACTIVE,12,Ocean IFM Pte Ltd,8310 6256,20/11/1997
2148,Single Tier Management Corporation,na,S97MC2148D,EVERTON COURT,17 EVERTON ROAD,7500A,BEACH ROAD,06-313,THE PLAZA,199591,62984022,ACTIVE,8,na,na,22/11/1997
2149,Single Tier Management Corporation,na,S97MC2149L,EASTERN LODGE,380 SIMS AVENUE 387531,705,SIMS DRIVE,6-Jan,SHUN LI INDUSTRIAL COMPLEX,387384,67445577,ACTIVE,24,SIN SOON LEE REALTY CO PTE LTD,67445577,9/12/1997
2150,Single Tier Management Corporation,na,S97MC2150H,CRU CENTRE,18 VERDUN ROAD 207280,18,VERDUN ROAD,4-Jan,CRU CENTRE,207280,62569333,ACTIVE,5,Newman & Goh Property Consultants Pte Ltd,62569333,29/12/1997
2151,Single Tier Management Corporation,na,S97MC2151D,GRAND CHATEAU,2 JALAN RAJAWALI 598435,194,PANDAN LOOP,7-Feb,PANTECH BUSINESS HUB,128383,64407948,ACTIVE,69,Teams Strata Management Services Pte Ltd,64407948,28/11/1997
2152,Single Tier Management Corporation,na,S98MC2152E,MANAGEMENT CORPORATION STRATA TITLE PLAN NO.2152,280B SIMS AVENUE 387515,280,SIMS AVENUE,na,na,387515,na,ACTIVE,3,NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD,62569333,12/5/1998
2153,Single Tier Management Corporation,na,S97MC2153G,TEMBELINA,190C TEMBELING ROAD 423684,3006,UBI ROAD 1,03-370,na,408700,67441083,ACTIVE,14,CHERN SERN PROPERTY SERVICES PTE LTD,67441083,6/12/1997
2154,Single Tier Management Corporation,na,S97MC2154C,APARTMENT 8,21 MEYAPPA CHETTIAR ROAD 358461,21,MEYAPPA CHETTIAR ROAD,B1-00,APARTMENT 8,358461,62747305,DEFUNCT,8,Camrie Project and Estate Management,6274 7305,16/12/1997
2155,Single Tier Management Corporation,na,S98MC2155D,LIBERTY WAREHOUSE,220 TAGORE LANE 787600,220,TAGORE LANE,01-00,LIBERTY WAREHOUSE,787600,65530051,ACTIVE,55,Jones Lang LaSalle Property Consultants Pte Ltd,96689463,5/3/1998
